hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hummingbird Hotel & Banquet,3.4,Good,Vallabh Vidhyanagar,37.5 km drive to Ranchhodrai Dakor Temple,4193,6000,Restaurant,Anand,,
Hotel Md Residency Anand,3.9,Very Good,Vallabh Vidhyanagar,36.7 km drive to Ranchhodrai Dakor Temple,1065,1699,24-hour Room Service,Anand,,
Hotel Silver Oak,3.8,Very Good,Vivekanand Wadi,34.4 km drive to Ranchhodrai Dakor Temple,790,1200,24-hour Room service,Anand,,
Shree Residency,3.5,Very Good,Nanikhodiyar,33.4 km drive to Ranchhodrai Dakor Temple,2205,3000,Washing Machine,Anand,,
HOTEL DARSHAN INN,4.5,Excellent,Karamsad,39.8 km drive to Ranchhodrai Dakor Temple,2477,3200,Restaurant,Anand,,
Hotel Radhe,3.9,Very Good,Patel Colony,32.5 km drive to Ranchhodrai Dakor Temple,1549,2000,24-hour Room Service,Anand,,
Hotel Lee Grand,4,Very Good,Vallabh Vidhyanagar,36.7 km drive to Ranchhodrai Dakor Temple,2090,2999,Restaurant,Anand,,
Hotel Restandview,3.2,Good,Vallabh Vidhyanagar,36.9 km drive to Ranchhodrai Dakor Temple,1965,2999,24-hour Room Service,Anand,,
Hotel Amber,4,Very Good,Gamdi,34.5 km drive to Ranchhodrai Dakor Temple,1123,1450,Restaurant,Anand,,
Hotel lee Gold,4,Very Good,Anand,33.1 km drive to Ranchhodrai Dakor Temple,1747,2000,Restaurant,Anand,,
Laksh Residency,3.9,Very Good,Mathiya Chora,34.1 km drive to Ranchhodrai Dakor Temple,1007,1300,Jacuzzi,Anand,,
Hotel Krishna Palace,3.8,Very Good,Vallabh Vidhyanagar,35.6 km drive to Ranchhodrai Dakor Temple,1091,1565,24-hour Room service,Anand,,
Hotel Rest & Leaf,3.8,Very Good,GIDC,37.3 km drive to Ranchhodrai Dakor Temple,1113,2999,Fireplace,Anand,,
D K House,3.9,Very Good,Gamdi,30.1 km drive to Ranchhodrai Dakor Temple,711,1200,24-hour Room service,Anand,,
Hotel Royal inn,3.7,Very Good,Sardar Ganj,33.2 km drive to Ranchhodrai Dakor Temple,1236,1500,24-hour Room service,Anand,,
Hotel Villa Inn,3.1,Good,Vallabh Vidhyanagar,35.8 km drive to Ranchhodrai Dakor Temple,1245,1500,24-hour Room service,Anand,,
NILKANTH RESORTS,3.7,Very Good,Lambhvel,36.8 km drive to Ranchhodrai Dakor Temple,3284,4714,Swimming Pool,Anand,,
"Hotel Mountain View, Anand",3.4,Good,Vallabh Vidhyanagar,36.6 km drive to Ranchhodrai Dakor Temple,1022,1529,24-hour Room service,Anand,,
HOTEL RADHA KRISHNA,4.1,Very Good,Vallabh Vidhyanagar,37.0 km drive to Ranchhodrai Dakor Temple,1162,1500,24-hour Room Service,Anand,,
Hotel Aaram,3.8,Very Good,Sardar Ganj,33.1 km drive to Ranchhodrai Dakor Temple,736,1000,24-hour Room Service,Anand,,
Hotel Lotus,3.8,Very Good,Vallabh Vidhyanagar,36.7 km drive to Ranchhodrai Dakor Temple,2043,2999,Jacuzzi,Anand,,
"Hotel Millennium, Anand",3.7,Very Good,Vallabh Vidhyanagar,36.6 km drive to Ranchhodrai Dakor Temple,897,1799,24-hour Room service,Anand,,
Hotel Newyork Inn,3.9,Very Good,Anand,33.0 km drive to Ranchhodrai Dakor Temple,1209,1709,24-hour Room Service,Anand,,
Hotel Neptune Palace,3.5,Very Good,Vallabh Vidhyanagar,36.3 km drive to Ranchhodrai Dakor Temple,942,1299,24-hour Room Service,Anand,,
Motel Happy Home,4.3,Excellent,Vallabh Vidhyanagar,36.2 km drive to Ranchhodrai Dakor Temple,1124,1355,Restaurant,Anand,,
Hotel La Ville Inn,3.5,Very Good,Umreth,6.7 km drive to Ranchhodrai Dakor Temple,1049,1200,24-hour Room service,Anand,,
Hotel Mount Villa,3.3,Good,Karamsad,39.9 km drive to Ranchhodrai Dakor Temple,1238,1599,24-hour Room service,Anand,,
Hotel My Stay Anand,2.5,Average,Anand,33.3 km drive to Ranchhodrai Dakor Temple,826,1599,24-hour Room service,Anand,,
Hotel Neelkamal,2.9,Average,Nanikhodiyar,33.4 km drive to Ranchhodrai Dakor Temple,1039,1399,24-hour Room Service,Anand,,
HOTEL ROYAL GRAND MOGAR,4.2,Very Good,Purushottam Nagar,36.2 km drive to Ranchhodrai Dakor Temple,1226,1650,24-hour Room Service,Anand,,
Hotel A1,3.3,Good,GIDC,37.5 km drive to Ranchhodrai Dakor Temple,1043,1599,24-hour Room service,Anand,,
Hotel Decent,3.2,Good,Sardar Ganj,33.3 km drive to Ranchhodrai Dakor Temple,913,1100,24-hour Room service,Anand,,
Hotel aagman,4.4,Excellent,Nanikhodiyar,33.0 km drive to Ranchhodrai Dakor Temple,1327,1599,Fireplace,Anand,,
Hotel SR Inn,2.7,Average,Nanikhodiyar,33.0 km drive to Ranchhodrai Dakor Temple,1273,1799,24-hour Room Service,Anand,,
Hotel VR Inn,3.5,Very Good,Purushottam Nagar,36.2 km drive to Ranchhodrai Dakor Temple,1039,1399,24-hour Room Service,Anand,,
Hotel Rudrax,3.5,Very Good,Purushottam Nagar,34.7 km drive to Ranchhodrai Dakor Temple,1746,1999,24-hour Room service,Anand,,
HOTEL TGS,3.3,Good,Vallabh Vidhyanagar,36.4 km drive to Ranchhodrai Dakor Temple,1161,1499,Luggage Storage,Anand,,
Motel Bapas,3.5,Very Good,Sardar Ganj,33.2 km drive to Ranchhodrai Dakor Temple,874,1000,Seating Area,Anand,,
Sangath Banquet Resort,4.3,Excellent,Nadiad,16.6 km from Anand,2236,3800,Swimming Pool,Anand,,
DEV MOTEL & BANQUET,3.1,Good,Kheda,17.5 km from Anand,2133,2900,Kitchenette,Anand,,
Hotel O Tulsi Hotel,2,Average,Kheda,18.2 km from Anand,579,1068,24-hour Room service,Anand,,
Hotel Cypress,4.4,Excellent,Kheda,18.3 km from Anand,2942,3800,Jacuzzi,Anand,,
Hotel Anmol Ratan & Guest House,3.5,Very Good,Kheda,19.1 km from Anand,996,1200,Luggage Storage,Anand,,
HOTEL COMFORT WORLD,3.8,Very Good,Kheda,19.4 km from Anand,2206,3000,Restaurant,Anand,,
hotel yogiraj,3.6,Very Good,Kheda,19.8 km from Anand,2517,4500,24-hour Room service,Anand,,
Tulsi Motel,2.8,Average,Subhash Nagar,21.3 km from Anand,874,1000,24-hour Room service,Anand,,
Boulevard 9 Luxury Resort & Spa,4.1,Very Good,Kheda,22.6 km from Anand,2853,2999,Swimming Pool,Anand,,
Delux Hotel,3.8,Very Good,Borsad,22.9 km from Anand,1936,2500,24-hour Room service,Anand,,
Hotel The Dream Residency,3.2,Good,Vasad Chowkadi,23.5 km from Anand,2018,2500,24-hour Room Service,Anand,,
Shreeji Sadan Dilen Guest House,4.2,Very Good,Dakor,23.3 km from Anand,1549,2000,Butler Services,Anand,,
Hotel Grand Sahara,1.6,Poor,Manjusar,23.5 km from Anand,1497,1899,24-hour Room service,Anand,,
hotel monville,4.1,Very Good,Ranoli,23.7 km from Anand,863,6555,Water Sports,Anand,,
HOTEL A J PALACE,3.5,Very Good,Subhash Nagar,24.2 km from Anand,2883,3300,24-hour Room Service,Anand,,
Hotel Lee Park,3.5,Very Good,Kamla,24.3 km from Anand,2279,2899,24-hour Room Service,Anand,,
Pride Biznotel Manjusar,3.7,Very Good,Manjusar,24.2 km from Anand,1900,2500,Gym,Anand,,
The Fern Royal Farm Resort Anjar,4.1,Very Good,Ratatalav,4.6 km from Anjar,2913,5001,Spa,Anjar,,
Shree Ramkrupa Party Plot & Resort,2.8,Average,Gandhidham,3.6 km from Anjar,3519,4000,Swimming Pool,Anjar,,
Shree Manav Residency,3.5,Very Good,Anjar,10 minutes walk to Anjar Railway Station,4782,5400,Gym,Anjar,,
StayVista at Desert Palms,4,Very Good,Gandhidham,7 km from Anjar,7530,10575,Swimming Pool,Anjar,,
shreeju regency,4.5,Excellent,Anjar,8 minutes walk to Anjar Railway Station,1433,1675,Restaurant,Anjar,,
Lords Eco Inn Gandhidham,3.6,Very Good,Gandhidham,8.3 km from Anjar,3200,3200,24-hour Room service,Anjar,,
Ramada by Wyndham Gandhidham Shinay,4.3,Excellent,Gandhidham,9.9 km from Anjar,5355,5355,Spa,Anjar,,
HOTEL ORCHID,3.4,Good,Gandhidham,8.8 km from Anjar,1312,3500,24-hour Room service,Anjar,,
HOTEL PARADISE INN,2,Average,Gandhidham,9.5 km from Anjar,1882,2200,24-hour Room service,Anjar,,
Radisson Hotel Kandla,4.4,Excellent,Gandhidham,11.8 km from Anjar,6299,6299,Spa,Anjar,,
Hotel Empire,3.2,Good,Ward 9AF,12.7 km from Anjar,1306,1500,Restaurant,Anjar,,
HOTEL SHIVAM,3.3,Good,Sector 1A,14.4 km from Anjar,1488,1739,Kitchenette,Anjar,,
Hotel Happy Inn,3.6,Very Good,Sector 1A,14.2 km from Anjar,1198,2000,24-hour Room service,Anjar,,
The Neemaya,4.2,Very Good,Gandhidham,16.5 km from Anjar,2439,3000,Spa,Anjar,,
Ambar Sarovar Portico,3.7,Very Good,Sector 8,14.5 km from Anjar,4950,5500,Spa,Anjar,,
Renest Gandhidham,3.7,Very Good,Sector 8,14.8 km from Anjar,3672,4590,Spa,Anjar,,
The Shiv Regency,3.8,Very Good,Ward 12A,16.6 km from Anjar,2439,3500,Restaurant,Anjar,,
HOTEL FLAMINGO,3.7,Very Good,Ward 12A,16 km from Anjar,1369,1600,24-hour Room Service,Anjar,,
Hotel Shree Maruti,3.7,Very Good,Sector 8,14.8 km from Anjar,1711,2000,Restaurant,Anjar,,
Hotel Grand Ambience,3.3,Good,Gopalpuri,15.1 km from Anjar,923,1200,24-hour Room service,Anjar,,
Hotel Jai residency,3.6,Very Good,Ward 12A,16.5 km from Anjar,2279,2899,Restaurant,Anjar,,
Ajanta Hotel and Party Plots,2.4,Average,Gandhidham,11.3 km from Anjar,941,1100,24-hour Room service,Anjar,,
Fun N Food,3.3,Good,Sector 8,15 km from Anjar,3319,3800,Restaurant,Anjar,,
Hotel Chandan,3.7,Very Good,Ward 12A,16.4 km from Anjar,2072,2400,Restaurant,Anjar,,
Hotel Vishwas,3.4,Good,Gandhidham,16.5 km from Anjar,1198,1400,24-hour Room service,Anjar,,
Hotel Seven Spice,2.8,Average,Sector 1A,14.2 km from Anjar,1544,1900,24-hour Room service,Anjar,,
City Plaza Hotel,2.5,Average,Sector 1A,15.3 km from Anjar,1967,2300,Restaurant,Anjar,,
Hotel P.B. International,3.2,Good,Gandhidham,14.5 km from Anjar,1309,1800,Swimming Pool,Anjar,,
Hotel Happy Stay,3.1,Good,Gandhidham,15.2 km from Anjar,1668,1950,24-hour Room service,Anjar,,
Hotel Aarti International,2.9,Average,Ward 12A,16.5 km from Anjar,2358,2699,Restaurant,Anjar,,
Hotel Aarti.,2.5,Average,Ward 12A,16.3 km from Anjar,1453,1699,24-hour Room Service,Anjar,,
Fun Hotel,3.5,Very Good,Gandhidham,14.1 km from Anjar,2446,2800,Restaurant,Anjar,,
hotel prashant international,3.2,Good,Ward 12A,15.1 km from Anjar,1788,2200,24-hour Room Service,Anjar,,
Hotel PB INN,3.5,Very Good,Ward 12A,16.5 km from Anjar,1882,2200,24-hour Room Service,Anjar,,
Narayani Heritage,4.2,Very Good,"Nilambaug, Bhavnagar",6.9 km drive to Bhavnagar Airport (BHU),2317,3500,Restaurant,Bhavnagar,,
Efcee Sarovar Premiere Bhavnagar,4.4,Excellent,"Vidhyanagar, Bhavnagar",6.9 km drive to Bhavnagar Airport (BHU),5400,6000,Spa,Bhavnagar,,
Hotel Clarks Collection Bhavnagar,3.9,Very Good,"Vidhyanagar, Bhavnagar",7.0 km drive to Bhavnagar Airport (BHU),2529,5500,Gym,Bhavnagar,,
HOTEL LOTUS,5,Excellent,"Narmada Nagar, Botad",Not Available,2388,2899,Restaurant,Bhavnagar,,
HOTEL VIJAY PALACE,3.4,Good,"Panwadi, Bhavnagar",6.0 km drive to Bhavnagar Airport (BHU),924,1200,Restaurant,Bhavnagar,,
Aradhana Auberge,3.8,Very Good,"B.A.D.A. Vikash Path, Bhavnagar",6.2 km drive to Bhavnagar Airport (BHU),1454,2000,Restaurant,Bhavnagar,,
PRAVEG BLACKBUCK SAFARI VELAVADAR,4,Very Good,"Narbad, Narbad",5 minutes walk to Velavadar Railway Station,4569,8999,Swimming Pool,Bhavnagar,,
HOTEL SANKALP,3.5,Very Good,"Hill Drive, Bhavnagar",4.7 km drive to Bhavnagar Airport (BHU),1584,2200,Fireplace,Bhavnagar,,
Arya Dormitory Hotel,3.6,Very Good,"Panwadi, Bhavnagar",6.1 km drive to Bhavnagar Airport (BHU),495,700,Kitchenette,Bhavnagar,,
"Iscon The Fern Resort & Spa, Bhavnagar",4.4,Excellent,"Vidhyanagar, Bhavnagar",8.1 km drive to Bhavnagar Airport (BHU),4845,7671,Spa,Bhavnagar,,
The Blackbuck Trails Velavadar,4.5,Excellent,"Narbad, Narbad",About a minute walk to Velavadar Railway Station,5382,8400,Swimming Pool,Bhavnagar,,
Hotel Virgo Sumeru,4.3,Excellent,"Vidhyanagar, Bhavnagar",5.8 km drive to Bhavnagar Airport (BHU),3652,4150,Restaurant,Bhavnagar,,
Hotel Jubilee,2.7,Average,"Shilpi Nagar, Bhavnagar",5.5 km drive to Bhavnagar Airport (BHU),1454,1700,Butler Services,Bhavnagar,,
Sashvat Inn,3.5,Very Good,"Kharama, Botad",Not Available,1056,1299,Restaurant,Bhavnagar,,
JAINSITE | PALITANA,3.8,Very Good,"Palitana, Palitana",Not Available,1124,1400,Air Conditioning,Bhavnagar,,
The Basil Park,4.3,Excellent,"Vidhyanagar, Bhavnagar",7.2 km drive to Bhavnagar Airport (BHU),3710,7000,Restaurant,Bhavnagar,,
The hotel vaibhav inn,2.4,Average,"Narmada Nagar, Botad",Not Available,1796,2100,24-hour Room Service,Bhavnagar,,
Top3 Lords Resorts Bhavnagar - Pure Veg,3.9,Very Good,"Budhel, Bhavnagar",Not Available,4700,4700,Spa,Bhavnagar,,
Hotel Sai Palace,3.3,Good,"Panwadi, Bhavnagar",5.9 km drive to Bhavnagar Airport (BHU),1198,1400,24-hour Room Service,Bhavnagar,,
HOTEL CITY PRIDE,3.9,Very Good,"Vidhyanagar, Bhavnagar",6.6 km drive to Bhavnagar Airport (BHU),2184,2500,Restaurant,Bhavnagar,,
