hotel name,rating,rating text,place,near by place,discount price,actual price,facilities,destination name,,
Hotel Shivsadan,3,Good,"Prabhas Patan, Somnath",7 minutes walk to Somnath Jyotirlinga Temple,1107,1362,Butler Services,Somnath,,
The Grand Somnath,3.6,Very Good,"Bhalpara Part, Somnath",6.5 km drive to Somnath Jyotirlinga Temple,1540,1800,Indoor Games,Somnath,,
Hotel Jayraj,2.2,Average,"Kodinar, Kodinar",Not Available,901,1600,24-hour Room service,Somnath,,
Hotel Woodland,3,Good,"Veraval, Somnath",8.1 km drive to Somnath Jyotirlinga Temple,3931,4500,Bonfire,Somnath,,
Hotel Shree Somnath..,2.3,Average,"Prabhas Patan, Somnath",2.7 km drive to Somnath Jyotirlinga Temple,1041,1200,24-hour Room service,Somnath,,
Hotel Amrut Inn Hospitalities,4.5,Excellent,"Mathasuriya, Somnath",2.7 km drive to Somnath Jyotirlinga Temple,1125,1650,Restaurant,Somnath,,
Hotel Comfort Holiday,1.7,Poor,"Ghoghola, Una",About a minute walk to Ghoghla beach,1504,1850,24-hour Room service,Somnath,,
Hotel Rakesh,3.2,Good,"Prabhas Patan, Somnath",2.0 km drive to Somnath Jyotirlinga Temple,1078,1400,24-hour Room service,Somnath,,
Shree Sai Guest House,3.5,Very Good,"Kodinar, Kodinar",Not Available,1111,1299,Restaurant,Somnath,,
Hotel Bansi,3.3,Good,"Ghoghola, Una",About a minute walk to Ghoghla beach,1711,2000,Living Room,Somnath,,
Hotel Vrinda,3.2,Good,"Una, Una",Not Available,1471,1719,Kids Play Area,Somnath,,
Hotel The 38 (Three Eight),2,Average,"Prabhas Patan, Somnath",2.3 km drive to Somnath Jyotirlinga Temple,1711,2000,24-hour Room Service,Somnath,,
THE LEAF GIR FOREST LODGE,3.5,Very Good,"Mendarda, Sasan Gir",23.7 km from city centre,6283,7000,Swimming Pool,Somnath,,
Hotel SRM,3.5,Very Good,"Sutrapada, Sutrapada",Not Available,1198,1400,24-hour Room service,Somnath,,
Shree Cottages,4.1,Very Good,"Talala, Sasan Gir",19.6 km from Gir Somnath,2447,2900,Swimming Pool,Somnath,,
Hotel Aditya,2.3,Average,"Talala, Sasan Gir",19.8 km from Gir Somnath,1796,2500,Restaurant,Somnath,,
The Gir Harmony Hotel,3.5,Very Good,"Talala, Sasan Gir",20.0 km from Gir Somnath,1282,2200,Jungle Safari,Somnath,,
Hotel Daksh,3.5,Very Good,"Talala, Sasan Gir",21.0 km from Gir Somnath,832,1400,24-hour Room service,Somnath,,
Hotel Morry'z,2.3,Average,"Talala, Sasan Gir",21.3 km from Gir Somnath,1027,1200,24-hour Room service,Somnath,,
Bhavin Guest House,3.5,Very Good,"Talala, Sasan Gir",21.3 km from Gir Somnath,1283,1500,24-hour Room Service,Somnath,,
Hotel SR Radhey KIM,4.3,Excellent,"Zankhvav, Zankhvav",Not Available,1091,1600,24-hour Room service,Surat,,
Click Hotel Yuvraj Surat (Formerly known as Best Western Yuvraj Surat),3.8,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,2790,3100,Spa,Surat,,
"Purple Beds by VITS Dwarkesh, Surat",4,Very Good,"Varachha Road, Surat",2.1 km drive to Kiran Hospital,1991,2110,Restaurant,Surat,,
Ginger Surat,3.5,Very Good,"Piplod, Surat",2.0 km drive to Rebounce! Fun Toh Yahaan Hai,1799,1799,Gym,Surat,,
Rajhans Feriado,4.1,Very Good,"Olpad, Olpad",Not Available,4404,6600,Swimming Pool,Surat,,
TIRUPATI RESIDENCY,3.8,Very Good,"Ring Road, Surat",3.0 km drive to Kiran Hospital,1312,1600,Restaurant,Surat,,
Tirupati International,3.9,Very Good,"Ring Road, Surat",2.4 km drive to Kiran Hospital,1791,2200,Restaurant,Surat,,
HOTEL SHAGUN - ROOMS & BANQUET,3.8,Very Good,"Piplod, Surat",2.1 km drive to Rebounce! Fun Toh Yahaan Hai,1218,1969,Restaurant,Surat,,
"Ginger Surat, City Centre",3.4,Good,"Laldarwaja, Surat",2.3 km drive to Kiran Hospital,1499,1499,Restaurant,Surat,,
The Byke Embassy - Surat,3.9,Very Good,"Laldarwaja, Surat",2.3 km drive to Kiran Hospital,1899,3000,24-hour Room service,Surat,,
Lords Plaza Surat,3.7,Very Good,"Begampura, Surat",6 minutes walk to Surat City Cb Railway Station,5800,5800,Jacuzzi,Surat,,
The World Surat,4.4,Excellent,"Shakti Nagar, Surat",Not Available,6736,7450,Swimming Pool,Surat,,
Hotel Sadbhav Villa,3.9,Very Good,"Adajan Gam, Surat",Not Available,3809,6600,Restaurant,Surat,,
The Amore Surat,3.9,Very Good,"Rundh Magdalla, Surat",1.6 km drive to Rebounce! Fun Toh Yahaan Hai,3566,4999,Caretaker,Surat,,
Hotel Pearl Residency,4.4,Excellent,"Begampura, Surat",3.0 km drive to Kiran Hospital,1134,4000,24-hour Room service,Surat,,
Courtyard by Marriott Surat,4.3,Excellent,"Bhatpore, Surat",7.9 km drive to Surat International Airport,8750,8750,Swimming Pool,Surat,,
Elite Room & Banquet,3.9,Very Good,"Vesu, Surat",1.6 km drive to Rebounce! Fun Toh Yahaan Hai,1288,2100,24-hour Room service,Surat,,
Park Inn by Radisson Surat,4.4,Excellent,"Adajan Gam, Surat",Not Available,8899,8899,Gym,Surat,,
The Weekend Address,3.5,Very Good,"Dumas, Surat",3.3 km drive to Surat International Airport,2500,7772,Jacuzzi,Surat,,
Rajhans Belliza | Apartments Units,4.2,Very Good,"Dumas, Surat",Not Available,3333,5604,Shared Swimming Pool,Surat,,
Hotel Avalon,4.1,Very Good,"Haripura, Surat",2.7 km drive to Kiran Hospital,2224,4500,Restaurant,Surat,,
Vetro Inn,4.1,Very Good,"Sumul Dairy Road, Surat",1.9 km drive to Kiran Hospital,2329,5159,Restaurant,Surat,,
Hotel Elements,4.2,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,2684,4000,Restaurant,Surat,,
Ramee International Surat,4,Very Good,"Adajan Gam, Surat",Not Available,6584,9099,Jacuzzi,Surat,,
"GreenOtel Rooms,Hazira Surat",3.8,Very Good,"Surat, Surat",18.6 km from city centre,1271,2559,Restaurant,Surat,,
ORANGE MEGASTRUCTURE LLP,3.9,Very Good,"Surat, Surat",2.5 km drive to Rebounce! Fun Toh Yahaan Hai,5509,6499,Spa,Surat,,
Surat Marriott Hotel,4.3,Excellent,"Athwa, Surat",9.5 km drive to Surat International Airport,9100,9100,Spa,Surat,,
Hotel Rest Inn,3.7,Very Good,"Begampura, Surat",2.9 km drive to Kiran Hospital,1532,3199,24-hour Room Service,Surat,,
Hotel King's Heritage,3.9,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,2671,4000,Restaurant,Surat,,
Weekend Address By Honest Homes,3.7,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,2104,5500,Swimming Pool,Surat,,
Honest Homes| Rajhans belliza Apartment Units,3.6,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,2026,6300,Shared Swimming Pool,Surat,,
Hotel Sarita,4,Very Good,"Unapani Road, Surat",3.0 km drive to Kiran Hospital,1193,2419,Fireplace,Surat,,
Hotel Ostria,3.8,Very Good,"Begampura, Surat",3.0 km drive to Kiran Hospital,1472,2700,24-hour Room service,Surat,,
Super Collection O Adajan Surat formerly Sky Palace,4.1,Very Good,"Pankaj Nagar, Surat",Not Available,1345,2482,24-hour Room service,Surat,,
Royal Rituals,4,Very Good,"Vesu, Surat",2.2 km drive to Rebounce! Fun Toh Yahaan Hai,1743,3200,Fireplace,Surat,,
Zip By Spree Hotels Surat,3.5,Very Good,"Bharthana, Surat",7.9 km drive to Surat International Airport,2542,4079,Restaurant,Surat,,
New City Light Hotel,3.7,Very Good,"Althan, Surat",9.0 km drive to Surat International Airport,923,1600,Jacuzzi,Surat,,
HOTEL THE PARKER INN BY KBNT GROUP,3.4,Good,"Palanpur Gam, Surat",Not Available,1389,3199,24-hour Room Service,Surat,,
Central Beacon Hotel,3.5,Very Good,"Laldarwaja, Surat",2.3 km drive to Kiran Hospital,2662,3899,Spa,Surat,,
Sanskruti GREENLAND RESORT,3.6,Very Good,"Baleshwar, Palsana",Not Available,4782,6000,Restaurant,Surat,,
Hotel El Magnifico,4.3,Excellent,"Laldarwaja, Surat",2.2 km drive to Kiran Hospital,2287,3350,Restaurant,Surat,,
Hotel Signature,3.9,Very Good,"Haripura, Surat",6 minutes walk to Surat City Cb Railway Station,1349,2199,24-hour Room Service,Surat,,
Super Collection O Adajan Near Western Business Hub,3.7,Very Good,"Adajan Gam, Surat",Not Available,1233,2275,Fireplace,Surat,,
Hotel Apex Surat,4.1,Very Good,"Begampura, Surat",6 minutes walk to Surat City Cb Railway Station,1773,4400,Restaurant,Surat,,
Super Collection O Adajan formerly Royal Paradise,4,Very Good,"Palanpur Gam, Surat",Not Available,953,2236,24-hour Room service,Surat,,
Hotel Yadgar,4,Very Good,"Laldarwaja, Surat",2.2 km drive to Kiran Hospital,1367,2350,24-hour Room service,Surat,,
Private Suite Room Weekend Address,3.8,Very Good,"Dumas, Surat",Not Available,3877,9404,Swimming Pool,Surat,,
Hotel O Lotus,1.2,Poor,"Bardoli, Bardoli",Not Available,834,1539,24-hour Room service,Surat,,
Super Hotel O Dindoli Surat formerly Hotel Bluestone,3.9,Very Good,"Karadva Gam, Surat",Not Available,1060,1954,24-hour Room service,Surat,,
Lavish 1BHK at Rajhans Belliza,3.7,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,2053,3000,Private Kitchen,Surat,,
Hotel Czar Inn,3.3,Good,"Bhimrad, Surat",7.7 km drive to Surat International Airport,1602,2000,Caretaker,Surat,,
Super Hotel O World View,4.3,Excellent,"Kamrej, Kamrej",Not Available,1145,2546,24-hour Room service,Surat,,
Hotel Ritz Vesu,4,Very Good,"Vesu, Surat",2.4 km drive to Rebounce! Fun Toh Yahaan Hai,1269,2200,24-hour Room service,Surat,,
Super Hotel O Bhimrad Althan Road formerly Hotel Khushi,3.9,Very Good,"Bhimrad, Surat",9.6 km drive to Surat International Airport,1055,1948,24-hour Room service,Surat,,
Hotel Grand Pragati,3.8,Very Good,"Haripura, Surat",2.8 km drive to Kiran Hospital,1542,3869,Gym,Surat,,
Hotel Serene Stay,3.8,Very Good,"Palanpur Gam, Surat",Not Available,818,1200,Restaurant,Surat,,
Hotel Galaxy,3.7,Very Good,"Begampura, Surat",3.0 km drive to Kiran Hospital,1292,1680,24-hour Room Service,Surat,,
Hotel Royal Treat,3.8,Very Good,"Haripura, Surat",2.9 km drive to Kiran Hospital,1540,3000,24-hour Room service,Surat,,
Budget Inn Bellevue,4.1,Very Good,"Sumul Dairy Road, Surat",1.8 km drive to Kiran Hospital,3475,3950,Restaurant,Surat,,
Hotel Satkar,3.9,Very Good,"Haripura, Surat",2.7 km drive to Kiran Hospital,1737,2499,Fireplace,Surat,,
Hotel J B,3.3,Good,"Varachha, Surat",2.8 km drive to Kiran Hospital,910,1300,24-hour Room Service,Surat,,
The Park Infinity,3.3,Good,"Bhimrad, Surat",8.9 km drive to Surat International Airport,1532,2699,Restaurant,Surat,,
Hotel Limra,3.9,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,1576,3500,Gym,Surat,,
Hotel Sapphire 26,4.4,Excellent,"Varachha Road, Surat",2.1 km drive to Kiran Hospital,1801,3800,Restaurant,Surat,,
Hotel Relax Inn,3.3,Good,"Ring Road, Surat",2.9 km drive to Kiran Hospital,927,1700,24-hour Room Service,Surat,,
VHHS Studio Apartment in Weekend Address,4.5,Excellent,"Dumas, Surat",3.2 km drive to Surat International Airport,1791,2300,Shared Swimming Pool,Surat,,
Hotel The Excellency,3.8,Very Good,"Ichchhapor, Surat",13.1 km from city centre,2427,2900,Restaurant,Surat,,
Collection O Laxmi Kuber,2.3,Average,"Kamrej, Kamrej",Not Available,1158,2138,24-hour Room service,Surat,,
Hotel diamond 26,4.2,Very Good,"Varachha Road, Surat",2.1 km drive to Kiran Hospital,2393,3500,Restaurant,Surat,,
WEEKEND STAYS,4.7,Excellent,"Dumas, Surat",3.2 km drive to Surat International Airport,2392,3200,Air Conditioning,Surat,,
Hotel Regency,3.3,Good,"Varachha Road, Surat",2.1 km drive to Kiran Hospital,1280,2300,24-hour Room service,Surat,,
Hotel Amisha International,3.8,Very Good,"Haripura, Surat",2.5 km drive to Kiran Hospital,2379,4300,Restaurant,Surat,,
THE TRAVELLER HOME HOTEL,3.2,Good,"Adajan Gam, Surat",Not Available,1347,3500,24-hour Room service,Surat,,
Hotel Orange,3.1,Good,"Vesu, Surat",1.4 km drive to Rebounce! Fun Toh Yahaan Hai,861,1600,24-hour Room service,Surat,,
Hotel Alfa Surat,3.7,Very Good,"Laldarwaja, Surat",2.2 km drive to Kiran Hospital,1295,1999,24-hour Room service,Surat,,
Hotel R B Residency,3.6,Very Good,"Laldarwaja, Surat",2.2 km drive to Kiran Hospital,1300,1300,Restaurant,Surat,,
WowStay at Weekend Address,4,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,1245,1499,Caretaker,Surat,,
Super Collection O Palanpor Surat,4.3,Excellent,"Palanpur Gam, Surat",Not Available,815,1504,24-hour Room service,Surat,,
Hotel Hinduja Empire,3.8,Very Good,"Athwa, Surat",8.5 km drive to Surat International Airport,1166,1900,Restaurant,Surat,,
Super Hotel O Althan Surat,3.7,Very Good,"Udhna Zone, Surat",10.0 km drive to Surat International Airport,1356,2504,24-hour Room service,Surat,,
Hotel Royal Accord,3.7,Very Good,"Adajan Patiya, Surat",7 minutes walk to Adajan Bus Port,1387,1799,Restaurant,Surat,,
Hotel Citadel,3.8,Very Good,"Parvat Patiya, Surat",Not Available,1431,2099,24-hour Room service,Surat,,
YOG HOTEL,3.5,Very Good,"Singanpor, Surat",2.7 km drive to Kiran Hospital,855,999,Restaurant,Surat,,
Hotel Privya Rooms and banquet,3.2,Good,"Adajan Gam, Surat",Not Available,1711,3899,24-hour Room Service,Surat,,
"Itsy Hotels Natasha, Vesu, Surat",3.4,Good,"Bhimrad, Surat",8.7 km drive to Surat International Airport,1413,3822,24-hour Room service,Surat,,
HOTEL THE VITAL,3.8,Very Good,"Pal Gam, Surat",Not Available,1407,2699,24-hour Room Service,Surat,,
The Grand Murli,4.3,Excellent,"Athwa, Surat",9.0 km drive to Surat International Airport,3095,4300,24-hour Room Service,Surat,,
7 Orbit Hotel,4.1,Very Good,"Laldarwaja, Surat",2.4 km drive to Kiran Hospital,2582,4199,Restaurant,Surat,,
HOTEL DE GLANCE,4.4,Excellent,"Unapani Road, Surat",2.4 km drive to Kiran Hospital,3569,7452,Gym,Surat,,
HOTEL LE GRAND,4,Very Good,"Haripura, Surat",6 minutes walk to Surat City Cb Railway Station,2079,4699,Restaurant,Surat,,
Baghban Kratos Club,3.7,Very Good,"Adajan Gam, Surat",Not Available,3494,4000,Spa,Surat,,
Hotel Hospice,3.7,Very Good,"Khodiyar Nagar, Surat",2.8 km drive to Kiran Hospital,2527,2660,Restaurant,Surat,,
"Treebo Urban, 1 Km From Railway Station",4.1,Very Good,"Unapani Road, Surat",2.6 km drive to Kiran Hospital,1847,4996,Restaurant,Surat,,
Hotel Apple Palace,2.3,Average,"Vesu, Surat",2.5 km drive to Rebounce! Fun Toh Yahaan Hai,1788,2090,24-hour Room service,Surat,,
FabHotel The Valentine - Udhna Road,2.4,Average,"Karadva Gam, Surat",Not Available,1317,3145,Restaurant,Surat,,
Hotel Kingdom Surat,3.5,Very Good,"Shakti Nagar, Surat",Not Available,2184,2500,Gym,Surat,,
Hotel Unicorn,2.7,Average,"Vesu, Surat",2.3 km drive to Rebounce! Fun Toh Yahaan Hai,1219,2299,Restaurant,Surat,,
Pacific Inn Hotel,3.3,Good,"Kamrej 1, Kamrej",Not Available,1711,2000,24-hour Room Service,Surat,,
Hotel Day Night Stay,2.8,Average,"Kadodara, Palsana",Not Available,554,799,Butler Services,Surat,,
Hotel Sai Neel,4,Very Good,"Ichchhapor, Surat",13.2 km from city centre,2230,3500,Restaurant,Surat,,
Hotel 4 Seasons,3.4,Good,"Palanpur Gam, Surat",Not Available,1848,2160,24-hour Room service,Surat,,
Studio Apartment Weekend Address Manged By Remsons Hospitality,3,Good,"Dumas, Surat",3.1 km drive to Surat International Airport,1948,3500,CCTV,Surat,,
hotel pleasure,4.1,Very Good,"Yogidhara Society, Surat",Not Available,910,1200,24-hour Room Service,Surat,,
Hotel Sheetal Plaza,4,Very Good,"Varachha, Surat",2.6 km drive to Kiran Hospital,1844,2999,24-hour Room Service,Surat,,
Gold Palace Inn Banquet,4.3,Excellent,"Palanpur Gam, Surat",Not Available,1539,2799,Restaurant,Surat,,
FabExpress Solitaire - Inside Solitaire Business Plaza,3.3,Good,"Palanpur Gam, Surat",Not Available,1139,3024,Restaurant,Surat,,
Hotel Prasang,3.3,Good,"Adajan, Surat",Not Available,1198,3000,24-hour Room Service,Surat,,
HOTEL CASA RIVA,3.2,Good,"Bhatpore, Surat",8.6 km drive to Surat International Airport,2605,4085,Swimming Pool,Surat,,
Hotel Suncity,3.4,Good,"Unapani Road, Surat",2.7 km drive to Kiran Hospital,1743,3499,24-hour Room Service,Surat,,
Hotel O Star galaxy,3.5,Very Good,"Dahin Nagar, Surat",Not Available,579,1068,24-hour Room service,Surat,,
Hotel Diamond Plaza,3.6,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,1804,3500,Restaurant,Surat,,
Collection O Infini Palace,2,Average,"Udhna Zone, Surat",4 minutes walk to Udhana Teen Rasta Brts,1209,2232,24-hour Room service,Surat,,
The Long D Hotel and Banquet Surat,3.5,Very Good,"Piplod, Surat",2.1 km drive to Rebounce! Fun Toh Yahaan Hai,4400,7099,Restaurant,Surat,,
Hotel Janta Inn,3.3,Good,"Ring Road, Surat",2.3 km drive to Kiran Hospital,1437,1680,24-hour Room service,Surat,,
The Augusta Club & Resort,5,Excellent,"Pardi, Kamrej",Not Available,5013,6299,Gym,Surat,,
Super Hotel O VIP Road formerly Hotel Lotus,3.5,Very Good,"Bharthana, Surat",8.2 km drive to Surat International Airport,874,1832,24-hour Room service,Surat,,
FabHotel Luxurious Inn - Nr. Galaxy Circle,2.7,Average,"Adajan, Surat",Not Available,1461,3293,Fireplace,Surat,,
Hotel Raj - Surat,3.3,Good,"Sumul Dairy Road, Surat",1.9 km drive to Kiran Hospital,1860,2200,24-hour Room service,Surat,,
Hotel Akash,3.7,Very Good,"Laldarwaja, Surat",2.9 km drive to Kiran Hospital,1402,1850,24-hour Room service,Surat,,
Hotel Dimple,2.9,Average,"Laldarwaja, Surat",3.0 km drive to Kiran Hospital,969,1400,24-hour Room service,Surat,,
HOTEL BLUE ORCHID,3.1,Good,"Saroli, Surat",Not Available,935,1099,24-hour Room Service,Surat,,
Hotel New Platinum 9,4.7,Excellent,"Begampura, Surat",6 minutes walk to Surat City Cb Railway Station,1897,2899,24-hour Room Service,Surat,,
Meridian Hotel & Banquet,3.2,Good,"Vesu, Surat",1.4 km drive to Rebounce! Fun Toh Yahaan Hai,1852,3050,24-hour Room Service,Surat,,
Hotel Sahyog Baleshwar,4.8,Excellent,"Baleshwar, Palsana",Not Available,1023,1500,Restaurant,Surat,,
Hotel Zenith,3.7,Very Good,"Haripura, Surat",2.6 km drive to Kiran Hospital,1711,2000,24-hour Room service,Surat,,
Motel Sunrise,3.2,Good,"Ichchhapor, Surat",13.7 km from city centre,941,1100,Kitchenette,Surat,,
FabHotel Prime Welcome Palace - Inside Chandni Chowk Complex,2.5,Average,"Piplod, Surat",5 minutes walk to Surat Bus Stand,2705,6097,Spa,Surat,,
Hotel Prime,4.5,Excellent,"Udhna Zone, Surat",4 minutes walk to Udhana Teen Rasta Brts,1954,2284,Restaurant,Surat,,
Hotel O Infinity,3.5,Very Good,"Palanpur Gam, Surat",Not Available,899,1670,24-hour Room service,Surat,,
Hotel Balwas Surat,3.5,Very Good,"Ring Road, Surat",620 m drive to Surat Station,1283,1500,Restaurant,Surat,,
HOTEL NEXUS,3.3,Good,"Yogidhara Society, Surat",Not Available,684,799,24-hour Room Service,Surat,,
Hotel Good Stay,4.1,Very Good,"Varachha, Surat",2.6 km drive to Kiran Hospital,1840,2699,24-hour Room service,Surat,,
Hotel Legend,3.8,Very Good,"Begampura, Surat",2.9 km drive to Kiran Hospital,1944,4299,Restaurant,Surat,,
HOTEL BHAGYODAY,3.8,Very Good,"Zankhvav, Zankhvav",Not Available,2271,2600,24-hour Room service,Surat,,
Hotel Citizen - Near Surat Railway Station,3.9,Very Good,"Laldarwaja, Surat",2.3 km drive to Kiran Hospital,2002,2600,Restaurant,Surat,,
Hotel Gokul Solitaire,3.4,Good,"Vesu, Surat",2.3 km drive to Rebounce! Fun Toh Yahaan Hai,1097,2569,24-hour Room service,Surat,,
Luxurious Studio Apartment at Rajhans Belliza,3.5,Very Good,"Surat, Surat",About a minute walk to Surat International Airport,2376,4000,Shared Swimming Pool,Surat,,
Hotel Parth,3.6,Very Good,"Begampura, Surat",2.9 km drive to Kiran Hospital,1227,1800,24-hour Room service,Surat,,
YOLOFarms 920,3.5,Very Good,"Olpad, Olpad",4.8 km drive to Surat International Airport,9942,12000,Private Swimming Pool,Surat,,
Hotel Stay Inn,3.5,Very Good,"Begampura, Surat",2.9 km drive to Kiran Hospital,1314,2599,24-hour Room Service,Surat,,
Hotel Tulsi,4.1,Very Good,"Sanjay Nagar, Surat",Not Available,2359,3000,Restaurant,Surat,,
Hotel welcome,3,Good,"Bharthana, Surat",8.0 km drive to Surat International Airport,648,1500,24-hour Room Service,Surat,,
FabHotel Nidhivan - Nr.Sarvottam The Restaurant (250M),2.2,Average,"Udhna Zone, Surat",3 minutes walk to Udhana Teen Rasta Brts,1020,2437,Restaurant,Surat,,
Mandhas Club and Resort,3.5,Very Good,"Baleshwar, Palsana",Not Available,1711,2000,24-hour Room service,Surat,,
Collection O Ospite Hotel,3,Good,"Unapani Road, Surat",2.7 km drive to Kiran Hospital,1086,2414,24-hour Room service,Surat,,
Hotel Fiorafly Surat,3.6,Very Good,"Pankaj Nagar, Surat",Not Available,2621,3000,24-hour Room service,Surat,,
FabHotel Happinex - Inside Atlanta business Hub,2.5,Average,"Bharthana, Surat",8.0 km drive to Surat International Airport,1327,3172,24-hour Room service,Surat,,
Hotel Nirali,3.2,Good,"Bhimrad, Surat",2.2 km drive to Rebounce! Fun Toh Yahaan Hai,1027,1200,24-hour Room Service,Surat,,
Hotel Bawa Inn,3.5,Very Good,"Mughal Sarai, Surat",Not Available,3520,4030,Restaurant,Surat,,
Hotel Summit,3,Good,"Udhna Zone, Surat",Not Available,1540,1800,Restaurant,Surat,,
Shreeji Vatika,3.7,Very Good,"Piplod, Surat",1.6 km drive to Rebounce! Fun Toh Yahaan Hai,4691,5250,Restaurant,Surat,,
Hotel Oasis,3.9,Very Good,"Khodiyar Nagar, Surat",2.3 km drive to Kiran Hospital,2203,3400,Swimming Pool,Surat,,
HOTEL FORTUNE,3.3,Good,"Bhimrad, Surat",8.8 km drive to Surat International Airport,1687,2750,Restaurant,Surat,,
Hotel Merit,4.5,Excellent,"Laldarwaja, Surat",2.3 km drive to Kiran Hospital,1844,3019,Restaurant,Surat,,
Hotel Nest,3.2,Good,"Godadara, Surat",Not Available,769,899,24-hour Room service,Surat,,
Collection O Dumas Rooms & Restaurant,2.5,Average,"Dumas, Surat",6.0 km drive to Surat International Airport,1003,1850,24-hour Room service,Surat,,
The Fusion Hotel,2.6,Average,"L.P.Savani, Surat",Not Available,1796,2100,24-hour Room service,Surat,,
KAVYA RESTRO,3.7,Very Good,"Palsana, Palsana",Not Available,1842,3000,24-hour Room service,Surat,,
HOTEL LA LUXURY,2.9,Average,"Mota Varachha, Surat",Not Available,2772,3500,24-hour Room service,Surat,,
Hotel LENNOX,3.9,Very Good,"Saroli, Surat",Not Available,1027,1200,24-hour Room Service,Surat,,
Hotel Golden Plaza,3.8,Very Good,"Begampura, Surat",6 minutes walk to Surat City Cb Railway Station,2359,2700,24-hour Room service,Surat,,
Hotel Balaji Inn,3.5,Very Good,"Althan, Surat",9.0 km drive to Surat International Airport,1045,1599,24-hour Room Service,Surat,,
Hotel O Rose Palace,3.4,Good,"Bharthana, Surat",8.0 km drive to Surat International Airport,1110,2063,24-hour Room service,Surat,,
Hotel Wow,3,Good,"Magob, Surat",Not Available,1519,2099,24-hour Room Service,Surat,,
FabHotel La Victoria - Galaxy Circle,2.8,Average,"Adajan Gam, Surat",Not Available,2336,5585,Restaurant,Surat,,
La Casa Club & Resort,3.6,Very Good,"Palsana, Palsana",Not Available,4870,5499,Jacuzzi,Surat,,
Hotel O DAY NIGHT ROOMS,2.9,Average,"Udhna Zone, Surat",Not Available,579,1068,24-hour Room service,Surat,,
Hotel Royal Plaza,3.5,Very Good,"Kamrej 1, Kamrej",Not Available,1363,1999,Restaurant,Surat,,
Hotel Orange Rooms,3.5,Very Good,"Vesu, Surat",1.2 km drive to Rebounce! Fun Toh Yahaan Hai,1069,1250,24-hour Room Service,Surat,,
Hotel Way Wait,3.5,Very Good,"Kadodara, Palsana",Not Available,4428,5000,24-hour Room service,Surat,,
NIRAANT HOTEL,2.3,Average,"Pal Gam, Surat",Not Available,2621,3000,Butler Services,Surat,,
Hotel Skylawn,2.4,Average,"Laldarwaja, Surat",2.1 km drive to Kiran Hospital,2359,3000,Restaurant,Surat,,
HOTEL SARVOTTAM,4.1,Very Good,"Palsana, Palsana",Not Available,1274,1489,24-hour Room service,Surat,,
Hotel Gokuldham,2.6,Average,"Rundh Magdalla, Surat",1.2 km drive to Rebounce! Fun Toh Yahaan Hai,1339,2719,Indoor Games,Surat,,
Hotel Suraj Inn,3,Good,"Haripura, Surat",6 minutes walk to Surat City Cb Railway Station,1788,2200,Restaurant,Surat,,
HOTEL REGENTS,3.7,Very Good,"Kadodara, Palsana",Not Available,1472,2399,Restaurant,Surat,,
Hotel O Ripple Mall,3,Good,"Piplod, Surat",2.2 km drive to Rebounce! Fun Toh Yahaan Hai,1289,2395,24-hour Room service,Surat,,
Hotel O Lotus Hotel,3.2,Good,"Nana Varachha, Surat",Not Available,986,1832,24-hour Room service,Surat,,
Super Collection O Vesu Surat formerly Hotel Signature,2.6,Average,"Vesu, Surat",4 minutes walk to Rebounce! Fun Toh Yahaan Hai,1041,2182,24-hour Room service,Surat,,
Hotel Decent,3.5,Very Good,"Haripura, Surat",6 minutes walk to Surat City Cb Railway Station,1454,1700,Fireplace,Surat,,
FabHotel 7 Star I,1.8,Poor,"Unapani Road, Surat",2.7 km drive to Kiran Hospital,1245,2806,Fireplace,Surat,,
Hotel Cozzy Palace.,3,Good,"Vesu, Surat",4 minutes walk to Rebounce! Fun Toh Yahaan Hai,1154,1650,Reception,Surat,,
Rajhans Belliza Luxurious Studio Apartment,4,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,2549,4284,Shared Swimming Pool,Surat,,
DWARKADHISH HOTEL PALSANA,3.5,Very Good,"Palsana, Palsana",Not Available,2184,2500,24-hour Room service,Surat,,
Pool View Apartments Managed Rhoof Hospitality,3.8,Very Good,"Dumas, Surat",3.2 km drive to Surat International Airport,3135,8799,Jacuzzi,Surat,,
Hotel Dream Palace,3.5,Very Good,"Bhatha, Surat",Not Available,1112,1300,24-hour Room service,Surat,,
Townhouse Lotus,3.5,Very Good,"Laxmi Nagar, Surat",Not Available,1233,2291,24-hour Room service,Surat,,
HOTEL SANTERIA INN,2.8,Average,"Kosad Gam, Surat",Not Available,858,1450,Restaurant,Surat,,
Hotel Golden City,3.6,Very Good,"Pal Gam, Surat",Not Available,1387,1799,24-hour Room service,Surat,,
Hotel Sahyog,2.2,Average,"Palsana, Palsana",Not Available,1034,1200,Restaurant,Surat,,
